LC08_L1TP_128033_20160507_20200907_02_T1_B;124;0;0;0;0;0;133;6348;45940;55414;14978036;26026434;345315;14275;2723;3;0;0;0;0
LC08_L1TP_128033_20160624_20200906_02_T1_B;122;0;0;0;0;2;53;4853;34637;42097;4547728;31473860;4546324;718411;101584;10183;1105;0;0;0
LC08_L1TP_128033_20160726_20200906_02_T1_B;127;0;0;0;0;0;2007;19589;90512;134729;4234407;23540561;11702088;1355406;350400;45264;1048;0;0;0
LC08_L1TP_128033_20160811_20200906_02_T1_B;121;0;0;0;0;0;0;2189;27095;121838;3510373;26658622;9932569;930814;272829;16634;945;0;0;0
LC08_L1TP_128033_20160912_20200906_02_T1_B;115;0;0;0;0;0;34;33724;53638;188483;19688940;16114039;4958035;356597;78281;7523;20;0;0;0
LC08_L1TP_128033_20161014_20200905_02_T1_B;129;0;0;0;0;0;1;31775;103127;170796;16191713;24643442;331726;7960;1044;155;0;0;0;0
LC08_L1TP_128033_20161115_20200905_02_T1_B;118;0;0;0;0;0;1;3865;136177;224972;39866940;1227727;15811;470;7;0;0;0;0;0
LC08_L1TP_128033_20161217_20200905_02_T1_B;111;0;0;0;0;0;1;292;55828;348430;40827349;242381;1637;9;0;0;0;0;0;0
LC08_L1TP_128033_20170118_20200905_02_T1_B;118;0;0;0;0;0;0;159;77372;352530;40933395;115945;225;0;0;0;0;0;0;0
LC08_L1TP_128033_20170219_20200905_02_T1_B;132;0;0;0;0;0;0;29891;113400;258043;40766308;305696;2558;6;0;0;0;0;0;0
LC08_L1TP_128033_20170307_20200905_02_T1_B;128;0;0;0;0;0;8;18196;95381;658023;38385864;2297842;18628;135;0;0;0;0;0;0
LC08_L1TP_128033_20170424_20200904_02_T1_B;113;0;0;0;0;0;0;7859;68031;141829;32210620;9004350;42560;1053;3;0;0;0;0;0
LC08_L1TP_128033_20170510_20200904_02_T1_B;131;0;0;0;0;0;10;40154;104127;181893;15371196;24904713;833424;42954;4205;712;1;0;0;0
LC08_L1TP_128033_20170611_20200903_02_T1_B;116;0;0;0;0;0;653;1372;53671;119126;6988913;31088640;2987799;221863;13446;2784;44;0;0;0
LC08_L1TP_128033_20170713_20200903_02_T1_B;129;0;0;0;0;0;3;28733;65002;98837;1866625;31915805;5751884;1196071;450308;88227;10267;0;0;0
LC08_L1TP_128033_20170814_20200903_02_T1_B;126;0;0;0;0;0;13;33844;56215;108019;5399861;23344923;10011442;1654219;748015;115709;6204;0;0;0
LC08_L1TP_128033_20170915_20200903_02_T1_B;134;0;0;0;0;0;0;0;129;17080;31454630;9492510;459889;49501;5907;336;0;0;0;0
LC08_L1TP_128033_20171001_20200903_02_T1_B;123;0;0;0;0;0;0;210;10140;24564;33328498;7943507;168377;5015;749;1;0;0;0;0
LC08_L1TP_128033_20171118_20200902_02_T1_B;126;0;0;0;0;0;354;8811;75905;197202;40297610;871017;24208;300;26;0;0;0;0;0
LC08_L1TP_128033_20171220_20200902_02_T1_B;129;0;0;0;0;0;449;5664;66283;128199;40832125;428048;20376;12;0;0;0;0;0;0
LC08_L1TP_128033_20180121_20200902_02_T1_B;125;0;0;0;0;0;0;5;3374;65726;41396767;8297;14;0;0;0;0;0;0;0
LC08_L1TP_128033_20180222_20200902_02_T1_B;124;0;0;0;0;0;2922;31358;89567;162626;39825269;1347769;15539;35;0;0;0;0;0;0
LC08_L1TP_128033_20180310_20200901_02_T1_B;120;0;0;0;0;0;49;27993;101849;118728;39181577;2014336;31411;85;0;0;0;0;0;0
LC08_L1TP_128033_20180411_20200901_02_T1_B;115;0;0;0;0;0;0;0;0;1280;41221573;253216;61;0;0;0;0;0;0;0
LC08_L1TP_128033_20180513_20200901_02_T1_B;111;0;0;0;0;0;0;7371;60310;107714;6607782;33568874;1071922;37364;10135;1418;0;0;0;0
LC08_L1TP_128033_20180614_20200831_02_T1_B;140;0;0;0;0;4;5380;35854;59914;70526;3071696;32994261;4524438;637347;75895;7446;274;0;0;0
LC08_L1TP_128033_20180716_20200831_02_T1_B;120;0;0;0;0;0;0;0;1398;550255;31548468;8282605;942481;79639;46709;29225;904;0;0;0
LC08_L1TP_128033_20180817_20200831_02_T1_B;140;0;0;0;0;0;0;1;100;7487;37533914;2589609;959260;301628;79180;5419;39;0;0;0
LC08_L1TP_128033_20180902_20200831_02_T1_B;125;0;0;0;0;0;33;5494;23829;91772;22850098;12640520;4664105;938152;245686;14629;312;0;0;0
LC08_L1TP_128033_20181004_20200830_02_T1_B;127;0;0;0;0;0;0;9749;89431;166133;8056452;32346094;786935;18990;6506;800;0;0;0;0
LC08_L1TP_128033_20181121_20200830_02_T1_B;117;0;0;0;0;0;425;12749;119967;212634;39606967;1485899;37856;801;17;0;0;0;0;0
LC08_L1TP_128033_20181223_20200830_02_T1_B;120;0;0;0;0;0;42;16634;125343;266426;40463707;589528;12127;1;0;0;0;0;0;0
LC08_L1TP_128033_20190108_20200829_02_T1_B;127;0;0;0;0;0;11;20288;125296;298627;40763710;265977;3156;0;0;0;0;0;0;0
LC08_L1TP_128033_20190209_20200829_02_T1_B;118;0;0;0;0;0;0;0;0;6573;41474239;0;0;0;0;0;0;0;0;0
